國家/地區[註 4],確診[註 5],死亡,康復,疫情
全球總計,2,520,181,171,549,659,527,詳[6][7]
美國,799,515,42,897,73,373,詳[註 6][8][9]
西班牙,204,178,21,282,82,514,詳[10][11]
義大利,181,228,24,114,48,877,詳[註 7][14]
法國,170,742,20,247,36,929,詳[註 8][16][17]
德國,147,831,4,917,103,862,詳[18]
英國,124,743,16,509,359[註 9],詳[註 10][19][20]
土耳其,90,980,2,140,13,430,詳[21]
伊朗,83,505,5,209,59,273,詳[註 11][24][25]
中國大陸,82,758,4,632,77,123,詳[註 12][27][28]
俄羅斯,52,763,456,3,873,詳[29]
巴西,40,743,2,587,22,130,詳[30][31]
比利時,39,983,5,828,8,895,詳[32][33]
加拿大,37,933,1,754,12,747,詳[34][9]
荷蘭,33,405,3,751,N/A[註 13],詳[註 14][35]
瑞士,27,673,1,429,18,600,詳[36][37]
葡萄牙,20,863,735,610,詳[38]
印度,18,539,592,3,273,詳[39]
秘魯,16,325,445,6,968,詳[40][41]
愛爾蘭,15,652,687,31,詳[42]
奧地利,14,806,470,10,631,詳[43][44]
瑞典,14,777,1,580,520,详[註 15][46][47]
以色列,13,883,181,4,353,詳[48]
日本,11,459,280,1,239,詳[註 16][50][51]
韓國,10,683,237,8,042,詳[52][53]
智利,10,507,139,4,476,詳[54]
沙地阿拉伯,10,484,103,1,490,詳[55]
厄瓜多爾,10,128,507,1,150,詳[56][57]
波蘭,9,593,380,774,詳[58][59]
巴基斯坦,9,216,192,2,066,詳[60][61]
新加坡,9,125,11,771,詳[62][63]
羅馬尼亞,8,936,478,1,892,詳[64]
墨西哥,8,772,712,2,627,詳[65]
丹麥,7,515,364,4,312,詳[註 17][66]
阿聯酋,7,265,43,1,360,詳[67]
挪威,7,156,181,32,詳[註 18][69][70]
印尼,7,135,616,842,詳[71][72]
捷克,6,900,194,1,559,詳[73][74]
澳洲,6,645,71,4,258,詳[75]
塞爾維亞,6,630,125,870,詳[76]
菲律賓,6,599,437,654,詳[77]
白俄羅斯,6,264,51,514,詳[78]
烏克蘭,6,125,161,367,詳[註 19][81]
卡塔爾,6,015,9,555,詳[82]
馬來西亞,5,482,92,3,349,詳[83][84]
多明尼加,4,964,235,416,詳[85]
巴拿馬,4,658,136,204,詳[86]
哥倫比亞,3,977,189,804,詳[87][88]
芬蘭,3,868,98,10,詳[註 20][89][90]
盧森堡,3,550,72,601,詳[91]
孟加拉,3,382,110,87,[92][93]
埃及,3,333,250,821,詳[註 21][94]
南非,3,300,58,1,055,詳[95]
摩洛哥,3,186,144,359,詳[註 22][97]
阿根廷,3,031,142,737,詳[98]
泰國,2,811,48,2,108,詳[99]
阿爾及利亞,2,718,384,1,099,詳[100]
摩爾多瓦,2,548,70,478,詳[註 23][102][103]
希臘,2,245,116,577,詳[104][105]
匈牙利,2,098,213,287,[106]
科威特,2,080,11,412,[107]
哈薩克斯坦,1,967,19,452,詳[108]
巴林,1,895,7,769,詳[109]
克羅地亞,1,881,47,771,詳[110][111]
冰島,1,773,8,1,362,詳[112]
烏茲別克,1,627,5,261,[113]
伊拉克,1,574,82,1,043,[114][115]
愛沙尼亞,1,535,40,165,[116][117]
阿曼,1,508,8,238,[118]
新西蘭,1,445,13,1,006,詳[119]
阿塞拜疆,1,436,19,791,[註 24][121]
亞美尼亞,1,401,24,609,[122]
立陶宛,1,350,37,298,[123] [124]
斯洛文尼亞,1,335,77,193,詳[125]
波士尼亞,1,278,50,381,[126]
波多黎各,1,252,63,0,[127][9]
斯洛伐克,1,199,14,258,[128]
北馬其頓,1,170,49,164,詳[129][130]
喀麥隆,1,163,42,305,詳[131]
阿富汗,1,092,36,150,[132]
古巴,1,087,36,285,[133]
加纳,1,042,9,99,詳[134]
香港,1,029,4,649,詳[135]
保加利亞,966,45,170,[136]
突尼斯,879,38,43,詳[137]
科特迪瓦,879,10,287,詳[138]
吉布提,846,2,102,[139]
塞浦路斯,828,15,117,[註 25][141]
拉脫維亞,739,5,88,[142][143]
國際運輸,735,14,644,詳[註 26][50][51]
安道爾,696,35,191,[147]
黎巴嫩,677,21,102,詳[148]
尼日利亚,665,22,188,詳[149]
哥斯達黎加,660,4,112,[150]
尼日爾,655,20,124,[151]
幾內亞,622,5,122,詳[152]
阿爾巴尼亞,609,26,345,[153]
玻利維亞,598,34,37,[154]
吉爾吉斯,590,7,216,[155]
布吉納法索,557,35,294,[156]
烏拉圭,528,10,298,[157]
洪都拉斯,494,46,29,詳[158]
科索沃,480,12,84,[159]
聖馬力諾,461,39,60,[160]
馬爾他,431,3,126,[161]
臺灣,425,6,217,詳[162]
約旦,407,7,265,[163]
留尼旺,402,0,238,[164]
格鲁吉亚,399,4,93,[註 27][166]
塞內加爾,377,5,220,[167][168]
民主剛果,350,25,35,詳[169]
巴勒斯坦,329,2,69,[170]
毛里裘斯,328,9,208,[171]
蒙特內哥羅,311,5,55,[172]
斯里蘭卡,309,7,100,[173][174]
瓜地馬拉,294,7,24,[175]
肯尼亚,281,14,69,詳[176]
越南,268,0,214,詳[177][178]
委內瑞拉,256,9,117,[179]
坦桑尼亞,254,10,11,詳[180]
馬里,246,14,56,[181]
索馬利亞,237,8,4,詳[註 28]
曼島,226,1,112,[183]
薩爾瓦多,225,7,48,[184]
根西,209,6,48,詳[185]
巴拉圭,199,8,30,[186]
澤西,198,3,0,詳[187]
牙買加,196,5,27,[188]
馬約特,191,2,50,[189]
法羅群島,185,0,177,[190]
剛果共和國,160,6,16,詳[191]
馬提尼克,155,6,50,詳[192]
盧旺達,147,0,76,詳[193]
瓜德罗普,143,8,67,詳[194]
關島,136,5,97,[195][9]
汶萊,136,1,99,詳[196]
直布羅陀,132,0,120,詳[197]
柬埔寨,122,0,110,[198]
加蓬,120,1,7,詳[199]
緬甸,119,5,7,[200]
馬達加斯加,117,0,33,[201]
埃塞俄比亞,114,3,16,詳[202]
千里達,113,8,16,詳[203]
蘇丹,107,12,8,[204]
摩納哥,94,3,20,詳[205]
阿魯巴,92,0,32,詳[206]
賴比瑞亞,91,8,7,[207]
法屬圭亞那,88,0,53,詳[208][209]
多哥,84,5,49,詳[210]
馬爾代夫,82,0,16,[211]
列支敦斯登,79,1,55,[212]
赤道幾內亞,79,0,4,詳[213]
巴貝多,75,5,15,[214]
尚比亞,70,3,35,[215]
圭亚那,65,7,9,[216]
佛得角,61,1,1,詳[217]
百慕達,57,5,30,[218]
海地,57,3,0,[219]
烏干達,56,0,38,詳[220]
巴哈馬,55,9,10,詳[221]
法屬玻里尼西亞,55,0,0,[222]
開曼群島,54,1,6,詳[223]
貝寧,54,1,27,詳[224]
美屬處女群島,53,3,46,[225][9]
荷屬聖馬丁,52,8,3,[226]
利比亞,51,1,11,[227]
幾內亞比索,50,0,3,[228]
澳門,45,0,22,詳[229]
獅子山國,43,0,6,詳[230]
厄利垂亞,39,0,3,[231]
莫三比克,39,0,8,[232]
敘利亞,38,2,5,[233]
法屬聖馬丁,37,2,19,[16]
查德,33,0,8,[234]
蒙古,33,0,7,詳[235]
尼泊爾,31,0,4,[236]
辛巴威,25,3,2,[237]
安哥拉,24,2,6,[238]
史瓦帝尼,24,1,8,詳[239]
安巴,23,3,0,詳[240]
東帝汶,23,0,1,[241]
波札那,20,1,0,[242]
寮國,19,0,0,[243]
貝里斯,18,2,0,[244]
斐濟,18,0,3,[245]
新喀里多尼亞,18,0,10,[246]
馬拉威,17,2,3,[247]
納米比亞,16,0,6,詳[248]
多米尼克,16,0,8,[249]
聖基茨,15,0,0,[250]
聖露西亞,15,0,0,[251]
北馬利安納,14,2,11,[252]
庫拉索,14,1,11,詳[253]
格林納達,14,0,0,[254]
聖文森,12,0,1,詳[255]
中非共和國,12,0,4,詳[256]
奧蘭群島,11,0,0,[257]
塞席爾,11,0,5,詳[258]
福克蘭群島,11,0,4,[259]
蒙特塞拉特,11,0,2,[260]
格陵蘭,11,0,11,詳[261]
土克凱可群島,11,1,0,[262]
蘇利南,10,1,6,詳[263]
岡比亞,10,1,2,[264]
亞克羅提利與德凱利亞,10,0,0,[265]
尼加拉瓜,10,2,6,[266]
梵蒂岡,8,0,2,詳[267]
茅利塔尼亞,7,1,6,詳[268]
巴新,7,0,0,详[269]
聖巴泰勒米,6,0,1,詳[16]
不丹,5,0,2,詳[270]
蒲隆地,5,1,0,[271]
荷蘭加勒比區,5,0,0,[註 29] [272][273][274]
英屬處女群島,4,0,0,[275]
聖普,4,0,0,[276]
南蘇丹,4,0,0,详[277]
安圭拉,3,0,0,[278]
關塔那摩灣,1,0,0,[註 30][279]
聖皮耶密克隆,1,0,0,[280]
也門,1,0,0,[281]
流行病史：中國大陸、全球
數據截至2020年4月21日（查论编）
